ref 	 beg 	 end 	 clusterType 	 nbTotalEvents 	 nbTumourEvents 	 nbNormalEvents 	 mean 	 standardDeviation 	 variationConfficient 
19	501753	501769	INS-CLUSTER	2	NA	NA	55.5	3.5	6.30630630631
19	525155	525184	INS-CLUSTER	2	NA	NA	162.5	112.5	69.2307692308
19	481366	481388	INS-CLUSTER	2	NA	NA	408.0	248.0	60.7843137255
19	735514	735548	INS-CLUSTER	2	NA	NA	81.5	7.5	9.20245398773
19	310557	310575	INS-CLUSTER	3	NA	NA	211.666666667	4.18993502999	1.97949686456
19	602094	602122	INS-CLUSTER	3	NA	NA	180.666666667	72.7064111494	40.2434010052
19	602279	602329	INS-CLUSTER	4	NA	NA	81.25	31.2119768679	38.4147407604
19	602388	602442	INS-CLUSTER	4	NA	NA	159.75	66.435589107	41.5872232282
19	107926	108017	INS-CLUSTER	8	NA	NA	198.5	65.8957510011	33.1968518897
19	1282604	1282616	INS-CLUSTER	2	NA	NA	200.5	134.5	67.0822942643
19	1052711	1052724	INS-CLUSTER	2	NA	NA	180.5	77.5	42.9362880886
19	1327935	1327968	INS-CLUSTER	3	NA	NA	410.666666667	226.252562908	55.0939682405
19	1156896	1156966	INS-CLUSTER	4	NA	NA	155.75	29.1236587674	18.6989783418
19	2025002	2025030	INS-CLUSTER	3	NA	NA	278.333333333	12.7104506433	4.56662897364
19	2037285	2037299	INS-CLUSTER	2	NA	NA	327.5	26.5	8.09160305344
19	3176812	3176814	INS-CLUSTER	2	NA	NA	63.0	2.0	3.1746031746
19	3081482	3081482	INS-CLUSTER	2	NA	NA	251.5	2.5	0.994035785288
19	3168992	3169118	INS-CLUSTER	6	NA	NA	140.166666667	4.05859855396	2.89555188154
19	4334803	4334854	INS-CLUSTER	7	NA	NA	96.1428571429	24.4565420487	25.4377108976
19	4511762	4511763	INS-CLUSTER	2	NA	NA	199.5	1.5	0.751879699248
19	4965584	4965597	INS-CLUSTER	3	NA	NA	159.333333333	7.4087035903	4.64981396881
19	6318750	6318754	INS-CLUSTER	2	NA	NA	624.5	23.5	3.76301040833
19	6991975	6991979	INS-CLUSTER	2	NA	NA	143.0	76.0	53.1468531469
19	6995492	6995522	INS-CLUSTER	3	NA	NA	764.666666667	468.579650528	61.2789429635
19	7776519	7776523	INS-CLUSTER	3	NA	NA	182.0	17.9071680248	9.8391033103
19	7061764	7061828	INS-CLUSTER	3	NA	NA	311.666666667	177.024166586	56.7991978352
19	8237001	8237002	INS-CLUSTER	2	NA	NA	282.5	5.5	1.94690265487
19	8766060	8766071	INS-CLUSTER	2	NA	NA	116.5	52.5	45.0643776824
19	8817563	8817585	INS-CLUSTER	6	NA	NA	142.833333333	75.023144577	52.5249553631
19	10825683	10825694	INS-CLUSTER	4	NA	NA	137.25	5.80409338312	4.22884763798
19	11723964	11723977	INS-CLUSTER	2	NA	NA	658.5	29.5	4.47987851177
19	13875273	13875273	INS-CLUSTER	2	NA	NA	100.0	3.0	3.0
19	13646797	13646882	INS-CLUSTER	4	NA	NA	87.25	30.0697106737	34.463851775
19	14731224	14731275	INS-CLUSTER	5	NA	NA	61.0	6.95701085237	11.4049358236
19	14200888	14200896	INS-CLUSTER	2	NA	NA	303.5	26.5	8.73146622735
19	14841253	14841271	INS-CLUSTER	2	NA	NA	61.0	3.0	4.91803278689
19	14706808	14706841	INS-CLUSTER	2	NA	NA	1433.5	578.5	40.3557725846
19	14874576	14874596	INS-CLUSTER	2	NA	NA	476.5	63.5	13.3263378804
19	15045170	15045175	INS-CLUSTER	2	NA	NA	273.5	18.5	6.76416819013
19	16180348	16180348	INS-CLUSTER	3	NA	NA	87.3333333333	3.09120616517	3.53954904408
19	16096538	16096581	INS-CLUSTER	5	NA	NA	173.6	59.5234407608	34.2876962908
19	16076750	16076795	INS-CLUSTER	2	NA	NA	289.0	1.0	0.346020761246
19	17752480	17752495	INS-CLUSTER	3	NA	NA	289.333333333	13.1993265821	4.56197923346
19	17741963	17742010	INS-CLUSTER	4	NA	NA	211.0	80.879540058	38.3315355725
19	18395356	18395374	INS-CLUSTER	4	NA	NA	402.25	190.071532587	47.2520901397
19	18800294	18800294	INS-CLUSTER	3	NA	NA	472.333333333	16.213848676	3.43271319888
19	18227567	18227654	INS-CLUSTER	4	NA	NA	345.5	11.1915146428	3.23922276203
19	19437496	19437498	INS-CLUSTER	2	NA	NA	60.5	0.5	0.826446280992
19	20260366	20260371	INS-CLUSTER	2	NA	NA	128.0	1.0	0.78125
19	20248678	20248690	INS-CLUSTER	2	NA	NA	70.5	1.5	2.12765957447
19	20770300	20770324	INS-CLUSTER	3	NA	NA	67.3333333333	1.88561808316	2.80042289579
19	21890714	21890739	INS-CLUSTER	3	NA	NA	72.3333333333	3.68178700573	5.09002811852
19	21006673	21006695	INS-CLUSTER	2	NA	NA	129.5	17.5	13.5135135135
19	21101963	21101975	INS-CLUSTER	2	NA	NA	721.5	17.5	2.4255024255
19	22373445	22373449	INS-CLUSTER	2	NA	NA	57.5	2.5	4.34782608696
19	23870560	23870565	INS-CLUSTER	3	NA	NA	57.3333333333	4.18993502999	7.3080262151
19	23951403	23951418	INS-CLUSTER	2	NA	NA	300.5	11.5	3.82695507488
19	24098832	24098832	INS-CLUSTER	2	NA	NA	150.5	0.5	0.332225913621
19	24426386	24426386	INS-CLUSTER	2	NA	NA	69.0	1.0	1.44927536232
19	28819038	28819050	INS-CLUSTER	4	NA	NA	169.5	34.5	20.3539823009
19	28310216	28310240	INS-CLUSTER	2	NA	NA	966.0	893.0	92.4430641822
19	29379217	29379219	INS-CLUSTER	2	NA	NA	255.0	45.0	17.6470588235
19	29856360	29856363	INS-CLUSTER	2	NA	NA	443.5	15.5	3.49492671928
19	29856214	29856218	INS-CLUSTER	2	NA	NA	79.5	10.5	13.2075471698
19	29238733	29238745	INS-CLUSTER	4	NA	NA	68.0	7.54983443527	11.1026976989
19	29855813	29855886	INS-CLUSTER	4	NA	NA	101.75	33.8332307059	33.2513323891
19	29223827	29223827	INS-CLUSTER	4	NA	NA	607.25	13.0455931256	2.14830681361
